filename,v_left,v_right,timestamp
1769333282279.jpg,0.0,0.0,1769333282279
1769333282314.jpg,0.0,0.0,1769333282314
1769333282347.jpg,0.0,0.0,1769333282347
1769333282381.jpg,0.0,0.0,1769333282381
1769333282414.jpg,0.0,0.0,1769333282414
1769333282448.jpg,0.0,0.0,1769333282448
1769333282482.jpg,0.0,0.0,1769333282482
1769333282516.jpg,0.0,0.0,1769333282516
1769333282549.jpg,0.0,0.0,1769333282549
1769333282583.jpg,0.0,0.0,1769333282583
1769333282617.jpg,0.0,0.0,1769333282617
1769333282650.jpg,0.0,0.0,1769333282650
1769333282684.jpg,0.0,0.0,1769333282684
1769333282718.jpg,0.0,0.0,1769333282718
1769333282752.jpg,0.0,0.0,1769333282752
1769333282785.jpg,0.0,0.0,1769333282785
1769333282819.jpg,0.0,0.0,1769333282819
1769333282853.jpg,0.0,0.0,1769333282853
1769333282886.jpg,0.0,0.0,1769333282886
1769333282920.jpg,0.0,0.0,1769333282920
1769333282954.jpg,0.0,0.0,1769333282954
1769333282988.jpg,0.0,0.0,1769333282988
1769333283021.jpg,0.0,0.0,1769333283021
1769333283055.jpg,0.0,0.0,1769333283055
1769333283089.jpg,0.0,0.0,1769333283089
1769333283123.jpg,0.0,0.0,1769333283123
1769333283157.jpg,0.0,0.0,1769333283157
1769333283190.jpg,0.0,0.0,1769333283190
1769333283224.jpg,0.0,0.0,1769333283224
1769333283258.jpg,0.0,0.0,1769333283258
1769333283291.jpg,0.0,0.0,1769333283291
1769333283325.jpg,0.0,0.0,1769333283325
1769333283359.jpg,0.0,0.0,1769333283359
1769333283392.jpg,0.0,0.0,1769333283392
1769333283426.jpg,0.0,0.0,1769333283426
1769333283460.jpg,0.0,0.0,1769333283460
1769333283494.jpg,0.0,0.0,1769333283494
1769333283527.jpg,0.0,0.0,1769333283527
1769333283561.jpg,0.0,0.0,1769333283561
1769333283595.jpg,0.0,0.0,1769333283595
1769333283629.jpg,0.0,0.0,1769333283629
1769333283662.jpg,0.0,0.0,1769333283662
1769333283696.jpg,0.0,0.0,1769333283696
1769333283730.jpg,0.0,0.0,1769333283730
1769333283764.jpg,0.0,0.0,1769333283764
1769333283797.jpg,0.0,0.0,1769333283797
1769333283831.jpg,0.0,0.0,1769333283831
1769333283865.jpg,1.0,1.0,1769333283865
1769333283898.jpg,1.0,1.0,1769333283898
1769333283932.jpg,1.0,1.0,1769333283932
1769333283966.jpg,1.0,1.0,1769333283966
1769333284000.jpg,1.0,1.0,1769333284000
1769333284033.jpg,1.0,1.0,1769333284033
